id,IRRRE,IRRRI,length_km
1,DK1,DK2,178.68
2,DK1,DE4-N,221.77
3,DK1,NL,499.66
4,DK1,NO2,363.98
5,DK1,SE3,480.30
6,DK1,UK,777.48
7,DK2,DK1,178.68
8,DK2,DE4-E,357.34
9,DK2,SE4,204.91
10,FIN,NO4,582.00
11,FIN,SE1,384.62
12,FIN,SE3,828.49
13,FIN,EE,651.51
14,DE4-E,DK2,357.34
15,DE4-E,DE4-N,282.50
16,DE4-E,DE4-S,398.30
17,DE4-E,DE4-W,275.41
18,DE4-E,SE4,516.79
19,DE4-E,PL,468.98
20,DE4-E,CZ,335.99
21,DE4-N,DK1,221.77
22,DE4-N,DE4-E,282.50
23,DE4-N,DE4-W,262.89
24,DE4-N,NO2,582.68
25,DE4-N,SE4,402.06
26,DE4-S,DE4-E,398.30
27,DE4-S,DE4-W,346.83
28,DE4-S,BE,435.34
29,DE4-S,FR,626.85
30,DE4-S,CH,279.41
31,DE4-S,AT,334.23
32,DE4-S,CZ,387.99
33,DE4-S,LU,307.76
34,DE4-W,DE4-E,275.41
35,DE4-W,DE4-N,262.89
36,DE4-W,DE4-S,346.83
37,DE4-W,NL,207.64
38,DE4-W,BE,305.76
39,DE4-W,LU,295.47
40,NL,DK1,499.66
41,NL,DE4-W,207.64
42,NL,UK,513.13
43,NL,BE,191.30
44,NO1,NO2,238.23
45,NO1,NO3,236.23
46,NO1,NO5,196.66
47,NO1,SE3,268.79
48,NO2,DK1,363.98
49,NO2,DE4-N,582.68
50,NO2,NO1,238.23
51,NO2,NO5,168.06
52,NO2,UK,853.27
53,NO3,NO1,236.23
54,NO3,NO4,827.28
55,NO3,NO5,257.84
56,NO3,SE2,335.63
57,NO4,FIN,582.00
58,NO4,NO3,827.28
59,NO4,SE1,252.18
60,NO4,SE2,642.76
61,NO5,NO1,196.66
62,NO5,NO2,168.06
63,NO5,NO3,257.84
64,SE1,FIN,384.62
65,SE1,NO4,252.18
66,SE1,SE2,415.67
67,SE2,NO3,335.63
68,SE2,NO4,642.76
69,SE2,SE1,415.67
70,SE2,SE3,445.08
71,SE3,DK1,480.30
72,SE3,FIN,828.49
73,SE3,NO1,268.79
74,SE3,SE2,445.08
75,SE3,SE4,299.65
76,SE3,EE,625.80
77,SE3,LV,663.92
78,SE4,DK2,204.91
79,SE4,DE4-E,516.79
80,SE4,DE4-N,402.06
81,SE4,SE3,299.65
82,SE4,LT,619.40
83,SE4,PL,609.55
84,UK,DK1,777.48
85,UK,NL,513.13
86,UK,NO2,853.27
87,UK,BE,544.61
88,UK,FR,833.85
89,UK,IE,402.05
90,EE,FIN,651.51
91,EE,SE3,625.80
92,EE,LV,205.72
93,LV,SE3,663.92
94,LV,EE,205.72
95,LV,LT,180.76
96,LT,SE4,619.40
97,LT,LV,180.76
98,LT,PL,464.45
99,PL,DE4-E,468.98
100,PL,SE4,609.55
101,PL,LT,464.45
102,PL,CZ,390.03
103,PL,SK,380.99
104,BE,DE4-S,435.34
105,BE,DE4-W,305.76
106,BE,NL,191.30
107,BE,UK,544.61
108,BE,FR,479.78
109,BE,LU,139.93
110,FR,DE4-S,626.85
111,FR,UK,833.85
112,FR,BE,479.78
113,FR,IT,885.29
114,FR,CH,433.91
115,FR,ES,864.07
116,FR,LU,442.31
117,IT,FR,885.29
118,IT,CH,552.51
119,IT,AT,543.80
120,IT,SI,409.75
121,CH,DE4-S,279.41
122,CH,FR,433.91
123,CH,IT,552.51
124,CH,AT,456.61
125,AT,DE4-S,334.23
126,AT,IT,543.80
127,AT,CH,456.61
128,AT,CZ,255.40
129,AT,SK,417.00
130,AT,HU,400.39
131,AT,SI,171.34
132,CZ,DE4-E,335.99
133,CZ,DE4-S,387.99
134,CZ,PL,390.03
135,CZ,AT,255.40
136,CZ,SK,323.46
137,ES,FR,864.07
138,ES,PT,428.14
139,PT,ES,428.14
140,SK,PL,380.99
141,SK,AT,417.00
142,SK,CZ,323.46
143,SK,HU,171.53
144,HU,AT,400.39
145,HU,SK,171.53
146,HU,SI,370.05
147,HU,HR,313.08
148,HU,RO,451.94
149,HU,RS,344.51
150,SI,IT,409.75
151,SI,AT,171.34
152,SI,HU,370.05
153,SI,HR,115.22
154,HR,HU,313.08
155,HR,SI,115.22
156,HR,BA,205.13
157,HR,RS,402.28
158,RO,HU,451.94
159,RO,BG,343.35
160,BG,RO,343.35
161,BG,GR,468.09
162,BG,MK,319.68
163,BG,RS,392.71
164,BG,TR,628.28
165,GR,BG,468.09
166,GR,AL,292.28
167,GR,MK,274.87
168,GR,TR,906.19
169,IE,UK,402.05
170,LU,DE4-S,307.76
171,LU,BE,139.93
172,LU,FR,442.31
173,AL,GR,292.28
174,AL,MK,145.34
175,AL,RS,347.31
176,MK,BG,319.68
177,MK,GR,274.87
178,MK,AL,145.34
179,MK,RS,300.74
180,BA,HR,205.13
181,BA,RS,241.23
182,RS,HU,344.51
183,RS,HR,402.28
184,RS,BG,392.71
185,RS,AL,347.31
186,RS,MK,300.74
187,RS,BA,241.23
188,TR,BG,628.28
189,TR,GR,906.19
